rowIndex,barcode,excelOrder,coneId,issueStatus,latestIssueOrder,latestIssueArticleId,issueTxnId,action,reason,needsConeClose,needsReturnTxn,returnTxnId
125,69a40f2193145c5b285520d2,ORD-000079,69a40f2193145c5b285520d6,issued,ORD-000027,69dc9fd1a19ee8d30f4a3a92,69df785700ca64e3cf538946,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
126,69a40fad93145c5b28552126,ORD-000091,69a40fad93145c5b2855212b,issued,ORD-000026,69dc7c3dd0bd6cbf13e4d510,69dc851ad0bd6cbf13e565a2,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
127,69a40fad93145c5b28552129,ORD-000080,69a40fad93145c5b2855212e,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
128,69a4144593145c5b28552d85,ORD-000029,69a4144593145c5b28552d8d,issued,ORD-000029,69df37ae00ca64e3cf52ac3e,69df7aca00ca64e3cf539411,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
129,69a4144593145c5b28552d88,ORD-000083,69a4144593145c5b28552d90,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
130,69a4155b93145c5b28552f57,ORD-000083,69a4155b93145c5b28552f79,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
131,69a4155b93145c5b28552f58,ORD-000038,69a4155b93145c5b28552f7a,issued,ORD-000038,69eb183d86f7ddd153e58aa9,69ec941686f7ddd153f31fab,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
132,69a4155b93145c5b28552f64,ORD-000080,69a4155b93145c5b28552f86,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
133,69a4188c93145c5b2855332f,ORD-000088,69a4188c93145c5b28553330,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
134,69a41f2393145c5b285538e6,ORD-000079,69a41f2393145c5b285538f1,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
135,69a41f2393145c5b285538e7,ORD-000079,69a41f2393145c5b285538f2,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
136,69a5248093145c5b28554bc2,ORD-000021,69a5248093145c5b28554bcd,issued,ORD-000021,69d0e47e97fe9152fa9fb768,69d7a761edc59d9ec102f9ba,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
